name,specialty,url,image_url,qualifications,address,phonenumber,about,approx_lat,approx_long
Dale M. Abadir,Dermatology,Url,Url,MD,"NYC Health + Hospitals/Jacobi
1400 Pelham Parkway South
Bronx, NY 10461",1-844-692-4692,"Dale M. Abadir, holding a MD degree, is specialized in Dermatology.",40.856776875614955,-73.84796370841468
Vincent R. Abalajon,"Nurse Practitioner Gerontology, Rapid Response Team Nurse Practitioner",Url,Url,NP,"NYC Health + Hospitals/Elmhurst
79-01 Broadway
Elmhurst, New York 11373",1-844-692-4692,"Vincent R. Abalajon, holding a NP degree, is specialized in Nurse Practitioner Gerontology, Rapid Response Team Nurse Practitioner.",40.745106729804476,-73.8857521901986
Mohamed H. Abdelghffar,Internal Medicine,Url,Url,MD,"NYC Health + Hospitals/Elmhurst
79-01 Broadway
Elmhurst, New York 11373","1-844-692-4692
","Mohamed H. Abdelghffar, holding a MD degree, is specialized in Internal Medicine.",40.74509047302561,-73.8857736478699
Omar H. Abdelghffar,Internal Medicine,Url,Url,MD,"NYC Health + Hospitals/Elmhurst
79-01 Broadway
Elmhurst, New York 11373","1-844-692-4692
","Omar H. Abdelghffar, holding a MD degree, is specialized in Internal Medicine.",40.745074216242756,-73.88576291903425
Muhammad Abdullah,"Gastroenterology, Internal Medicine",Url,Url,MD,"NYC Health + Hospitals/South Brooklyn Health, Ruth Bader Ginsburg Hospital
2601 Ocean Parkway
Brooklyn, NY 11235",1-844-692-4692,"Muhammad Abdullah, holding a MD degree, is specialized in Gastroenterology, Internal Medicine.",40.58554665135041,-73.9659059639767
Ami Abraham,"Critical Care Medicine, Internal Medicine, Pulmonary Diseases, Sleep Medicine, Pulm/cc, Sleep, Chief resident",https://www.nychealthandhospitals.org/doctors/page/2/?specialty=49,Url,DO,"NYC Health + Hospitals/Jacobi
1400 Pelham Parkway South
Bronx, NY 10461",1-844-692-4692,"Ami Abraham, holding a DO degree, is specialized in Critical Care Medicine, Internal Medicine, Pulmonary Diseases, Sleep Medicine, Pulm/cc, Sleep, Chief resident.",40.85680121978473,-73.84796370841468
Smita B. Abraham,"Endocrinology Diabetes and Metabolism, Internal Medicine, Diabetes, Endocrinology, and Metabolism",https://www.nychealthandhospitals.org/doctors/page/2/?specialty=49,Url,MD,"NYC Health + Hospitals/Jacobi
1400 Pelham Parkway South
Bronx, NY 10461",1-844-692-4692,"Smita B. Abraham, holding a MD degree, is specialized in Endocrinology Diabetes and Metabolism, Internal Medicine, Diabetes, Endocrinology, and Metabolism.",40.85674441670798,-73.84798516608598
Adriana Abrudescu,"Internal Medicine, Rheumatology",https://www.nychealthandhospitals.org/doctors/page/2/?specialty=49,https://www.nychealthandhospitals.org/doctors/abrudescu-adriana/,MD,"NYC Health + Hospitals/Queens
82-68 164th Street
Queens, New York 11432",1-844-692-4692,"Adriana Abrudescu, holding a MD degree, is specialized in Internal Medicine, Rheumatology.",40.71732419158472,-73.8043999801326
"
Anjali Acharya","Internal Medicine, Nephrology",https://www.nychealthandhospitals.org/doctors/page/2/?specialty=49,https://www.nychealthandhospitals.org/doctors/acharya-anjali/,MD,"NYC Health + Hospitals/Jacobi
1400 Pelham Parkway South
Bronx, NY 10461",1-844-692-4692,"Anjali Acharya, holding a MD degree, is specialized in Internal Medicine, Nephrology.",40.856776875614955,-73.84796370841468
Jennifer G. Adams,Internal Medicine,https://www.nychealthandhospitals.org/doctors/page/2/?specialty=49,https://www.nychealthandhospitals.org/doctors/adams-jennifer-goldsmith/,MD,"NYC Health + Hospitals/Gotham Health, Gouverneur
227 Madison Street
New York, NY 10002",1-844-692-4692,"Jennifer G. Adams, holding a MD degree, is specialized in Internal Medicine.",40.71310691365772,-73.98773209204967
